Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",0402,2,15p,
C10,0603,1,100n,
"C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C24, C3, C6, C9",0402,14,100n,
"C2, C7, C8",0402,3,4.7u,
C5,0603,1,4.7u,
"JP2, JP3, JP5, JP7",0402,4,0402WGF0000TCE,
L1,IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,1,3.3u,C42411119
"R1, R3, R4",0402,3,1k,
"R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R70, R71, R72, R73, R74, R75, R76, R77, R78, R79, R8, R80, R81, R82, R83, R84, R85, R86, R87, R88, R89",0402,80,330,
R2,0402,1,33,
"SW1, SW2",SW_Push_1P1T_XKB_TS-1187A,2,TS-1187A-B-A-B,
U1,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
U2,RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350B,
X1,ABM8-272-T3_ABR,1,ABM8-272-T3,
